County,species,species_num
Kajiado,Pigs,24780
Kajiado,cattle,1155420
Kericho,Sheep,112476
Kericho,Goats,143750
Kericho,Camels,0
Kericho,Donkeys,23880
Kericho,Pigs,1588
Kericho,cattle,483296
Bomet,Sheep,160984
Bomet,Goats,152918
Bomet,Camels,0
Bomet,Donkeys,21970
Bomet,Pigs,612
Bomet,cattle,636418
Kakamega,Sheep,113768
Kakamega,Goats,156288
Kakamega,Camels,0
Kakamega,Donkeys,2160
Kakamega,Pigs,57268
Kakamega,cattle,806900
Vihiga,Sheep,12290
Vihiga,Goats,61708
Vihiga,Camels,0
Vihiga,Donkeys,154
Vihiga,Pigs,9256
Vihiga,cattle,253236
Bungoma,Sheep,156988
Bungoma,Goats,219386
Bungoma,Camels,0
Bungoma,Donkeys,12116
Bungoma,Pigs,31860
Bungoma,cattle,702518
Busia,Sheep,43408
Busia,Goats,164606
Busia,Camels,0
Busia,Donkeys,466
Busia,Pigs,114008
Busia,cattle,413256
Siaya,Sheep,266220
Siaya,Goats,326444
Siaya,Camels,0
Siaya,Donkeys,11974
Siaya,Pigs,28350
Siaya,cattle,652362
Kisumu,Sheep,327074
Kisumu,Goats,275392
Kisumu,Camels,0
Kisumu,Donkeys,7084
Kisumu,Pigs,9510
Kisumu,cattle,485992
Homa Bay,Sheep,296748
Homa Bay,Goats,359110
Homa Bay,Camels,0
Homa Bay,Donkeys,28092
Homa Bay,Pigs,8914
Homa Bay,cattle,681938
Migori,Sheep,141704
Migori,Goats,284408
Migori,Camels,0
Migori,Donkeys,11788
Migori,Pigs,5844
Migori,cattle,646640
Kisii,Sheep,22002
Kisii,Goats,113892
Kisii,Camels,0
Kisii,Donkeys,2762
Kisii,Pigs,2842
Kisii,cattle,433716
Nyamira,Sheep,23574
Nyamira,Goats,78670
Nyamira,Camels,0
Nyamira,Donkeys,1456
Nyamira,Pigs,2682
Nyamira,cattle,239250
Nairobi,Sheep,38218
Nairobi,Goats,56830
Nairobi,Camels,0
Nairobi,Donkeys,1084
Nairobi,Pigs,32824
Nairobi,cattle,58658
