periodname,county,brucellosis,rift_valley_fever,anthrax,brucella
July 2023,Marsabit County,206,,,633
July 2023,Homa Bay County,273,,4,750
July 2023,Wajir County,84,,,658
July 2023,Vihiga County,131,,,413
July 2023,Kisii County,669,,,5077
July 2023,Mombasa County,,,,11
July 2023,Lamu County,3,,,14
July 2023,Meru County,133,,1,164
July 2023,Taita Taveta County,11,,,108
July 2023,Garissa County,42,,,582
July 2023,Samburu County,65,,,299
July 2023,Kirinyaga County,11,,,89
July 2023,Nairobi County,155,,30,799
July 2023,Kilifi County,74,,,81
July 2023,Mandera County,38,,,822
July 2023,Uasin Gishu County,605,,,2011
July 2023,Kiambu County,2,,,245
July 2023,Kericho County,860,,,2857
July 2023,Tana River County,21,,,135
July 2023,Machakos County,39,,,199
July 2023,Elgeyo Marakwet County,570,,,1335
July 2023,Trans Nzoia County,364,,,1877
July 2023,Embu County,53,,,445
July 2023,Isiolo County,79,,,398
July 2023,Narok County,744,,1,2408
July 2023,Migori County,510,,27,1610
July 2023,Kakamega County,233,,1,785
July 2023,West Pokot County,406,,,2034
July 2023,Nyandarua County,36,,,547
July 2023,Nakuru County,570,,,2664
July 2023,Siaya County,61,,7,540
July 2023,Busia County,94,,3,500
July 2023,Turkana County,183,,2,1173
July 2023,Kajiado County,126,,,1019
July 2023,Nyamira County,259,,,790
July 2023,Tharaka Nithi County,49,,,513
July 2023,Kisumu County,80,,,692
July 2023,Bungoma County,883,,,3353
July 2023,Laikipia County,22,,,106
July 2023,Nyeri County,4,,,118
July 2023,Kwale County,2,,,
July 2023,Muranga County,9,,2,27
July 2023,Nandi County,563,,,1422
July 2024,Trans Nzoia County,284,,,1763
July 2024,Isiolo County,44,,1,75
July 2024,Kajiado County,101,,15,776
July 2024,Busia County,78,,,355
July 2024,Mandera County,34,,,1005
July 2024,Tana River County,28,,13,195
July 2024,Tharaka Nithi County,74,,,470
July 2024,Kiambu County,18,,,91
July 2024,Nyamira County,186,,,590
July 2024,Garissa County,101,,,763
July 2024,West Pokot County,547,,,1701
July 2024,Nyandarua County,17,,,274
July 2024,Migori County,362,6,,1369
July 2024,Kakamega County,121,,,639
July 2024,Wajir County,92,,,607
July 2024,Narok County,807,,1,1937
July 2024,Samburu County,51,,,156
July 2024,Homa Bay County,146,,,1043
July 2024,Siaya County,67,,,493
July 2024,Uasin Gishu County,572,,,1571
July 2024,Lamu County,5,,,5
July 2024,Baringo County,349,,,1150
July 2024,Kilifi County,33,,,38
July 2024,Mombasa County,,,,14
July 2024,Makueni County,30,,,81
July 2024,Meru County,31,,1,142
July 2024,Kitui County,175,,,560
July 2024,Nairobi County,163,,,1264
July 2024,Kirinyaga County,2,,,40
July 2024,Marsabit County,171,,,424
July 2024,Kisii County,677,,,4425
July 2024,Kisumu County,107,,4,348
July 2024,Taita Taveta County,4,,,56
July 2024,Nakuru County,393,,60,2551
July 2024,Vihiga County,70,,,224
July 2024,Elgeyo Marakwet County,610,,,1484
July 2024,Nandi County,472,,142,1600
July 2024,Turkana County,306,191,,821
July 2024,Laikipia County,40,,,159
July 2024,Bomet County,168,,150,1208
July 2024,Machakos County,40,,1,87
July 2024,Nyeri County,8,,,148
July 2024,Embu County,42,,,386
July 2024,Bungoma County,777,,,2861
July 2024,Kwale County,3,,,19
July 2024,Kericho County,544,,38,2041
July 2024,Muranga County,29,,,63
June 2022,Tana River County,18,,,179
June 2022,Nyandarua County,127,,,688
June 2022,Kiambu County,39,,,154
June 2022,Kericho County,589,,70,1800
June 2022,Narok County,541,,3,1725
June 2022,Busia County,96,,,473
June 2022,Nyamira County,198,,,483
June 2022,Migori County,476,1,276,1393
June 2022,Muranga County,16,,,53
June 2022,Mandera County,60,,,503
June 2022,Tharaka Nithi County,174,,,565
June 2022,Machakos County,88,,,251
June 2022,Mombasa County,6,,,145
June 2022,Meru County,85,,,269
June 2022,Kilifi County,2,,,17
June 2022,Siaya County,83,,,392
June 2022,Kisumu County,114,,1,800
June 2022,Nakuru County,678,,37,2357
June 2022,Nairobi County,242,,,592
June 2022,Isiolo County,186,,,638
June 2022,Vihiga County,168,,1,392
June 2022,Kajiado County,183,,,666
June 2022,Samburu County,69,,,370
June 2022,Kirinyaga County,6,,,118
June 2022,Baringo County,444,,,1029
June 2022,Trans Nzoia County,1051,,,2092
June 2022,Marsabit County,169,,,480
June 2022,Makueni County,39,,,251
June 2022,Kitui County,129,,,635
June 2022,Kwale County,10,,,10
June 2022,Uasin Gishu County,344,,,1882
June 2022,Homa Bay County,239,,2,1307
June 2022,Taita Taveta County,27,,45,72
June 2022,Kisii County,673,,,3632
June 2022,Nyeri County,11,,,161
June 2022,Garissa County,46,,,412
June 2022,Bungoma County,758,,,4427
June 2022,Wajir County,47,,,455
June 2022,Kakamega County,141,,2,718
June 2022,Nandi County,718,,115,1240
June 2022,Turkana County,164,,,957
June 2022,West Pokot County,456,,,1740
June 2022,Elgeyo Marakwet County,472,,,1338
June 2022,Laikipia County,52,,,55
June 2022,Bomet County,43,,1,309
June 2022,Embu County,73,,,654
June 2023,Kirinyaga County,18,,,117
June 2023,Taita Taveta County,15,,,113
June 2023,Kisumu County,235,,,545
June 2023,Makueni County,44,,,88
June 2023,Kisii County,831,,,3736
June 2023,Kilifi County,44,,,34
June 2023,Kwale County,13,,,6
June 2023,Uasin Gishu County,763,,,1490
June 2023,Baringo County,423,,,1286
June 2023,Vihiga County,63,,1,225
June 2023,Samburu County,57,,,463
June 2023,Nakuru County,546,,15,2644
June 2023,Mombasa County,1,,,186
June 2023,Meru County,185,,44,108
June 2023,Nyamira County,187,,,817
June 2023,Marsabit County,204,,,356
June 2023,Kitui County,233,,,598
June 2023,Siaya County,105,,73,500
June 2023,Kajiado County,105,,,819
June 2023,Isiolo County,47,,,282
June 2023,Trans Nzoia County,484,,,2045
June 2023,Busia County,116,,,464
June 2023,Nairobi County,183,,8,773
June 2023,Kakamega County,182,,11,1355
June 2023,Migori County,541,,6,1429
June 2023,Narok County,603,,2,2080
June 2023,Kiambu County,13,1,,170
June 2023,Nyeri County,,,,192
June 2023,Muranga County,17,,1,49
June 2023,Garissa County,73,,2,533
June 2023,Tharaka Nithi County,61,,1,493
June 2023,Machakos County,24,,1,205
June 2023,Lamu County,3,,,48
June 2023,Mandera County,19,,133,529
June 2023,Tana River County,66,,,129
June 2023,Elgeyo Marakwet County,600,,,1278
June 2023,Laikipia County,40,,,73
June 2023,Nandi County,530,,,1350
June 2023,Homa Bay County,296,,,939
June 2023,Turkana County,291,,,1035
June 2023,Kericho County,802,,,3143
June 2023,Wajir County,61,,,751
June 2023,Nyandarua County,41,,,428
June 2023,West Pokot County,382,,,4179
June 2023,Embu County,65,,4,467
June 2023,Bungoma County,670,,,3126
June 2023,Bomet County,100,,,653
June 2024,Tana River County,11,,12,97
June 2024,Migori County,386,,,1954
June 2024,Muranga County,9,,,30
June 2024,Narok County,744,,2,1590
June 2024,Kiambu County,20,,,110
June 2024,Kericho County,487,,,1880
June 2024,Isiolo County,28,,,54
June 2024,Kajiado County,132,,,610
June 2024,Trans Nzoia County,273,,,1644
June 2024,Busia County,70,,,484
June 2024,Nyamira County,220,,,758
June 2024,Kakamega County,132,,,706
June 2024,Turkana County,151,,,777
June 2024,Embu County,43,,,447
June 2024,West Pokot County,561,,,1645
June 2024,Nyandarua County,36,,,155
June 2024,Elgeyo Marakwet County,626,,,1410
June 2024,Siaya County,137,,,678
June 2024,Bungoma County,735,,,2708
June 2024,Nakuru County,354,,,4109
June 2024,Nyeri County,4,,,148
June 2024,Kisumu County,129,,33,432
June 2024,Laikipia County,18,,,91
June 2024,Kwale County,21,,,48
June 2024,Machakos County,31,,200,38
June 2024,Nandi County,602,,,1571
June 2024,Tharaka Nithi County,117,,6,375
June 2024,Makueni County,29,,,62
June 2024,Marsabit County,125,,,430
June 2024,Baringo County,315,2,,1326
June 2024,Kitui County,124,,,336
June 2024,Kirinyaga County,4,,,62
June 2024,Vihiga County,141,,366,150
June 2024,Bomet County,105,,14,1138
June 2024,Garissa County,79,,,560
June 2024,Mombasa County,,1,,25
June 2024,Lamu County,1,,,5
June 2024,Samburu County,50,,,127
June 2024,Wajir County,64,,,523
June 2024,Meru County,84,,72,263
June 2024,Taita Taveta County,16,,,53
June 2024,Uasin Gishu County,454,,,1021
June 2024,Homa Bay County,119,,33,998
June 2024,Nairobi County,128,,,831
June 2024,Kisii County,682,,,4216
June 2024,Mandera County,62,,,1304
June 2024,Kilifi County,16,,,29
March 2022,Kericho County,403,,,1536
March 2022,Machakos County,89,,,196
March 2022,Muranga County,67,,3,51
March 2022,Nyandarua County,71,,,429
March 2022,Nandi County,604,,,1420
March 2022,Turkana County,216,,,611
March 2022,Elgeyo Marakwet County,438,,,1063
March 2022,Nyamira County,104,,,438
March 2022,Narok County,398,,1,2885
March 2022,Tana River County,20,,,164
March 2022,Nakuru County,533,,,1962
March 2022,Kilifi County,,,,35
March 2022,Migori County,427,,6,1068
March 2022,Kiambu County,28,,3,227
March 2022,Tharaka Nithi County,104,,18,785
March 2022,Taita Taveta County,28,,,38
March 2022,Bungoma County,754,,,3367
March 2022,West Pokot County,528,,,2474
March 2022,Kakamega County,146,,,687
March 2022,Embu County,48,,,484
March 2022,Laikipia County,56,,,178
March 2022,Bomet County,101,,7,530
March 2022,Kwale County,7,,,
March 2022,Makueni County,56,,,235
March 2022,Vihiga County,58,,,196
March 2022,Uasin Gishu County,404,,,1474
March 2022,Wajir County,111,,,343
March 2022,Lamu County,1,,,3
March 2022,Garissa County,79,,,870
March 2022,Nyeri County,7,,,145
March 2022,Homa Bay County,268,,5,893
March 2022,Kisumu County,87,,,617
March 2022,Kisii County,572,,,2895
March 2022,Isiolo County,86,,28,391
March 2022,Mandera County,52,,,563
March 2022,Nairobi County,230,,,1412
March 2022,Busia County,71,,1,396
March 2022,Kajiado County,159,,,607
March 2022,Siaya County,44,,,223
March 2022,Samburu County,30,,,507
March 2022,Kirinyaga County,7,,,69
March 2022,Mombasa County,,,2,36
March 2022,Trans Nzoia County,455,,,2290
March 2022,Meru County,128,,,154
March 2022,Marsabit County,194,,,424
March 2022,Kitui County,122,,1,519
March 2022,Baringo County,331,,,1147
March 2023,Kirinyaga County,7,,,117
March 2023,Kisumu County,107,,,408
March 2023,Kisii County,690,,,3856
March 2023,Taita Taveta County,6,,,117
March 2023,Makueni County,28,,,117
March 2023,Homa Bay County,200,,,727
March 2023,Uasin Gishu County,537,,,1506
March 2023,Kilifi County,4,,,75
March 2023,Kwale County,8,,,9
March 2023,Elgeyo Marakwet County,585,,,1275
March 2023,Turkana County,247,,,907
March 2023,Laikipia County,52,,,67
March 2023,Nandi County,480,,,1140
March 2023,Wajir County,14,,,311
March 2023,Kericho County,643,,,1870
March 2023,West Pokot County,454,,,1459
March 2023,Kakamega County,142,,,781
March 2023,Nyandarua County,102,,,575
March 2023,Bungoma County,724,,,3370
March 2023,Bomet County,112,,,1145
March 2023,Embu County,128,,15,476
March 2023,Busia County,118,,,608
March 2023,Trans Nzoia County,387,,,1972
March 2023,Kajiado County,177,,41,731
March 2023,Migori County,567,,,1300
March 2023,Narok County,699,,3,1909
March 2023,Muranga County,8,,,51
March 2023,Kiambu County,30,,,113
March 2023,Machakos County,63,,1,124
March 2023,Nairobi County,196,,33,784
March 2023,Garissa County,86,,9,436
March 2023,Nyeri County,1,,,92
March 2023,Mandera County,41,,91,448
March 2023,Lamu County,7,,1,13
March 2023,Tana River County,60,,1,160
March 2023,Tharaka Nithi County,51,,,459
March 2023,Samburu County,56,,,234
March 2023,Siaya County,80,,28,398
March 2023,Meru County,160,,,158
March 2023,Nakuru County,592,,,4588
March 2023,Mombasa County,2,,,16
March 2023,Nyamira County,129,,,742
March 2023,Kitui County,192,,1,496
March 2023,Vihiga County,30,,,268
March 2023,Baringo County,438,,,1155
March 2023,Marsabit County,196,,,514
March 2023,Isiolo County,74,,,567
March 2024,Nyamira County,225,1,1,573
March 2024,Machakos County,34,,,145
March 2024,Muranga County,9,,1,74
March 2024,Migori County,383,,,1607
March 2024,Narok County,683,,8,2062
March 2024,Kiambu County,17,,,280
March 2024,Kericho County,658,,,2707
March 2024,Laikipia County,42,,,551
March 2024,Turkana County,192,,,595
March 2024,Trans Nzoia County,330,,,1254
March 2024,Busia County,79,,,397
March 2024,Elgeyo Marakwet County,832,,,1408
March 2024,Kajiado County,153,,,595
March 2024,Embu County,63,,,476
March 2024,Nyandarua County,29,,,480
March 2024,Kakamega County,141,,,712
March 2024,West Pokot County,528,,,1670
March 2024,Isiolo County,46,,1,453
March 2024,Siaya County,60,,,359
March 2024,Kisii County,611,,,3594
March 2024,Garissa County,59,,,555
March 2024,Nairobi County,93,,1,545
March 2024,Meru County,131,,,228
March 2024,Taita Taveta County,5,,,89
March 2024,Wajir County,39,,,809
March 2024,Mombasa County,16,,,17
March 2024,Samburu County,89,,,118
March 2024,Tana River County,20,,,100
March 2024,Lamu County,1,1,,1
March 2024,Kilifi County,37,,,49
March 2024,Mandera County,66,,11,253
March 2024,Uasin Gishu County,578,,,1531
March 2024,Makueni County,38,,26,300
March 2024,Kitui County,129,,,434
March 2024,Marsabit County,184,,,722
March 2024,Homa Bay County,167,,,1057
March 2024,Baringo County,318,,,1301
March 2024,Kirinyaga County,2,,,74
March 2024,Vihiga County,92,,,211
March 2024,Bomet County,105,,4,635
March 2024,Bungoma County,851,,131,2525
March 2024,Kisumu County,83,,,655
March 2024,Nyeri County,,,,118
March 2024,Nakuru County,401,,,2139
March 2024,Nandi County,478,,,1351
March 2024,Kwale County,49,,2,12
March 2024,Tharaka Nithi County,74,,,731
May 2022,Tana River County,26,,,85
May 2022,Nyandarua County,83,,,473
May 2022,Migori County,471,,,1082
May 2022,Muranga County,16,,,55
May 2022,Narok County,490,,1,1561
May 2022,Kiambu County,64,,,618
May 2022,Kericho County,440,,,1954
May 2022,Nairobi County,206,,55,818
May 2022,Machakos County,54,,1,266
May 2022,Tharaka Nithi County,77,,11,515
May 2022,Nandi County,6436,,,1259
May 2022,Kilifi County,21,,,22
May 2022,Mandera County,101,,,483
May 2022,Meru County,201,,,142
May 2022,Nakuru County,587,,,1982
May 2022,Nyeri County,,,,134
May 2022,Kisumu County,124,1,,762
May 2022,Mombasa County,3,,,34
May 2022,Samburu County,43,,,245
May 2022,Vihiga County,46,,,351
May 2022,Kajiado County,140,,,727
May 2022,Baringo County,332,,,901
May 2022,Trans Nzoia County,449,,,2452
May 2022,Busia County,73,,,385
May 2022,Nyamira County,163,,4,435
May 2022,Siaya County,53,,,388
May 2022,Isiolo County,148,,,495
May 2022,Makueni County,82,,,243
May 2022,Marsabit County,155,,,481
May 2022,Kirinyaga County,2,,,100
May 2022,Kitui County,135,,,497
May 2022,Uasin Gishu County,351,,,1583
May 2022,Homa Bay County,408,,47,1043
May 2022,Kwale County,6,1,,13
May 2022,Kisii County,589,,19,2836
May 2022,Garissa County,73,,,390
May 2022,Bungoma County,635,,,3873
May 2022,Laikipia County,36,,,7
May 2022,Taita Taveta County,5,,,35
May 2022,Wajir County,16,,,600
May 2022,Kakamega County,263,,,848
May 2022,Embu County,128,,,638
May 2022,Turkana County,154,18,,672
May 2022,Bomet County,40,,1,324
May 2022,West Pokot County,564,,,2999
May 2022,Elgeyo Marakwet County,402,,,1193
May 2023,Homa Bay County,227,,,1247
May 2023,Vihiga County,77,,,231
May 2023,Bomet County,85,,,674
May 2023,Kwale County,16,,,
May 2023,Samburu County,84,,,483
May 2023,Baringo County,375,,,1368
May 2023,Kitui County,133,,,464
May 2023,Meru County,129,,3,104
May 2023,Marsabit County,187,,,346
May 2023,Bungoma County,681,,,3577
May 2023,Wajir County,35,,,605
May 2023,Kakamega County,105,,,779
May 2023,West Pokot County,394,,,1721
May 2023,Tharaka Nithi County,59,,1,567
May 2023,Kisumu County,139,,,710
May 2023,Nyeri County,,,,102
May 2023,Muranga County,11,,3,27
May 2023,Nandi County,502,,,1518
May 2023,Machakos County,46,,,231
May 2023,Laikipia County,60,,,114
May 2023,Kericho County,363,,,2043
May 2023,Kiambu County,31,,,315
May 2023,Nakuru County,644,,,2121
May 2023,Migori County,415,,,1397
May 2023,Nyamira County,208,,,755
May 2023,Turkana County,319,,,994
May 2023,Embu County,84,,,552
May 2023,Siaya County,81,,3,610
May 2023,Kajiado County,113,,,719
May 2023,Elgeyo Marakwet County,519,,,1463
May 2023,Busia County,111,,,767
May 2023,Nyandarua County,31,,,304
May 2023,Isiolo County,74,,4,276
May 2023,Nairobi County,138,,24,1034
May 2023,Kirinyaga County,28,,,113
May 2023,Trans Nzoia County,463,,,2084
May 2023,Narok County,686,,,1433
May 2023,Taita Taveta County,15,,,89
May 2023,Tana River County,27,,,136
May 2023,Garissa County,68,,87,553
May 2023,Mombasa County,,,,5
May 2023,Kilifi County,71,,1,5
May 2023,Lamu County,8,,3,8
May 2023,Kisii County,643,,,4499
May 2023,Mandera County,33,,,521
May 2023,Makueni County,37,,,142
May 2023,Uasin Gishu County,440,,,1665
May 2024,Narok County,679,,12,1741
May 2024,Tana River County,9,,,40
May 2024,Migori County,356,,,1429
May 2024,Kiambu County,25,,,113
May 2024,Trans Nzoia County,334,,,1290
May 2024,Kericho County,667,,1,2317
May 2024,Kakamega County,252,1,,569
May 2024,Kajiado County,94,,75,527
May 2024,Bungoma County,743,,,2503
May 2024,Isiolo County,49,,,373
May 2024,Nyamira County,254,,,691
May 2024,Turkana County,146,,,899
May 2024,Elgeyo Marakwet County,551,,,1248
May 2024,West Pokot County,419,,,1943
May 2024,Nyandarua County,25,,,266
May 2024,Busia County,41,,,259
May 2024,Nyeri County,3,,,146
May 2024,Nakuru County,392,,1,1779
May 2024,Embu County,61,,,353
May 2024,Laikipia County,24,,,71
May 2024,Machakos County,48,,9,111
May 2024,Tharaka Nithi County,72,,3,519
May 2024,Muranga County,45,,71,41
May 2024,Kwale County,11,,,10
May 2024,Nandi County,615,,,1469
May 2024,Marsabit County,196,,,448
May 2024,Kirinyaga County,3,,,105
May 2024,Kitui County,177,,,406
May 2024,Taita Taveta County,6,,9,73
May 2024,Bomet County,121,,,1137
May 2024,Baringo County,315,,,1055
May 2024,Kisumu County,130,,,562
May 2024,Vihiga County,97,,,126
May 2024,Wajir County,93,,,485
May 2024,Siaya County,61,,2,419
May 2024,Samburu County,34,,10,157
May 2024,Kilifi County,8,,,21
May 2024,Lamu County,,,,4
May 2024,Mombasa County,,,,147
May 2024,Garissa County,59,,,256
May 2024,Homa Bay County,157,,6,969
May 2024,Meru County,62,,10,176
May 2024,Nairobi County,146,,1,1324
May 2024,Kisii County,501,,,3431
May 2024,Makueni County,28,,,96
May 2024,Mandera County,39,,,772
May 2024,Uasin Gishu County,473,,,1556
November 2022,Wajir County,60,,,311
November 2022,Meru County,157,,7,105
November 2022,Samburu County,33,,,160
November 2022,Bungoma County,860,,,3579
November 2022,Mombasa County,3,,1,150
November 2022,Bomet County,48,,1,148
November 2022,Kakamega County,100,,253,645
November 2022,West Pokot County,482,,,2233
November 2022,Baringo County,466,,,1375
November 2022,Vihiga County,29,,,210
November 2022,Isiolo County,119,,,492
November 2022,Kitui County,32,,,326
November 2022,Trans Nzoia County,431,,,1848
November 2022,Marsabit County,156,,,738
November 2022,Migori County,505,22,107,1290
November 2022,Busia County,158,,3,487
November 2022,Kajiado County,197,,,758
November 2022,Nyamira County,206,,3,661
November 2022,Muranga County,6,,,67
November 2022,Tharaka Nithi County,47,,,414
November 2022,Kisumu County,116,1,,479
November 2022,Kiambu County,43,,,144
November 2022,Kwale County,17,,,
November 2022,Nyeri County,12,,,78
November 2022,Machakos County,30,,3,106
November 2022,Kilifi County,37,1,13,91
November 2022,Nakuru County,478,,,2279
November 2022,Siaya County,77,,,409
November 2022,Embu County,55,,,402
November 2022,Elgeyo Marakwet County,532,,,1222
November 2022,Turkana County,211,,,897
November 2022,Nandi County,419,,26,1252
November 2022,Kericho County,657,,,2713
November 2022,Laikipia County,46,,,177
November 2022,Tana River County,32,1,,100
November 2022,Nyandarua County,45,,,600
November 2022,Kirinyaga County,4,,,165
November 2022,Narok County,743,10,3,1941
November 2022,Makueni County,97,,,211
November 2022,Nairobi County,78,,16,1110
November 2022,Taita Taveta County,12,,,45
November 2022,Mandera County,42,,,257
November 2022,Uasin Gishu County,422,,,1601
November 2022,Kisii County,839,,,3793
November 2022,Homa Bay County,218,,,1029
November 2022,Garissa County,58,,,457
November 2023,Machakos County,22,,,128
November 2023,Turkana County,196,,,705
November 2023,Nyamira County,179,,,601
November 2023,Muranga County,28,,1,37
November 2023,Kiambu County,52,,,271
November 2023,Kericho County,922,,,2407
November 2023,Nyandarua County,33,,,339
November 2023,Nakuru County,372,,1,2139
November 2023,Migori County,457,,,1427
November 2023,Siaya County,2192,,,312
November 2023,Busia County,98,,,390
November 2023,Trans Nzoia County,357,,,2181
November 2023,Laikipia County,36,,,791
November 2023,Elgeyo Marakwet County,620,,,914
November 2023,Isiolo County,39,,,197
November 2023,Embu County,26,,,298
November 2023,Kajiado County,113,,,663
November 2023,Kisumu County,58,,4,474
November 2023,Nyeri County,,,1,129
November 2023,Nandi County,271,,,1043
November 2023,Kwale County,13,,,16
November 2023,Tharaka Nithi County,46,,6,475
November 2023,Vihiga County,109,,,156
November 2023,Homa Bay County,173,,,1015
November 2023,Uasin Gishu County,488,,,1582
November 2023,Baringo County,390,,,965
November 2023,Kitui County,91,,,326
November 2023,Samburu County,56,,,287
November 2023,Wajir County,55,,,254
November 2023,Marsabit County,170,,,698
November 2023,Meru County,46,,68,192
November 2023,Bungoma County,698,,,2722
November 2023,Bomet County,88,,2,674
November 2023,Mandera County,45,,,402
November 2023,Nairobi County,129,,4,1479
November 2023,West Pokot County,259,,,1396
November 2023,Taita Taveta County,3,,1,53
November 2023,Kakamega County,155,,,600
November 2023,Kirinyaga County,8,,,96
November 2023,Narok County,802,,1,2121
November 2023,Mombasa County,6,,4,26
November 2023,Lamu County,,,,15
November 2023,Kilifi County,57,,,23
November 2023,Garissa County,93,,,547
November 2023,Makueni County,13,,,91
November 2023,Kisii County,641,,115,3854
November 2023,Tana River County,26,,,107
November 2024,Lamu County,3,,,5
November 2024,Wajir County,73,,,508
November 2024,Meru County,60,,1,161
November 2024,Garissa County,98,,,485
November 2024,Nyeri County,,,,112
November 2024,Mombasa County,,,,16
November 2024,Samburu County,22,,,247
November 2024,Nairobi County,111,17,,685
November 2024,Mandera County,73,,,262
November 2024,Tharaka Nithi County,52,,,338
November 2024,Homa Bay County,117,,,686
November 2024,Makueni County,7,,,53
November 2024,Kwale County,21,,,13
November 2024,Uasin Gishu County,450,,75,1579
November 2024,Tana River County,22,,,94
November 2024,Nyandarua County,9,,,188
November 2024,Narok County,741,,3,2139
November 2024,Kericho County,225,,,1477
November 2024,Kakamega County,60,,,362
November 2024,West Pokot County,360,,,1588
November 2024,Bomet County,68,,,629
November 2024,Elgeyo Marakwet County,585,,1,1097
November 2024,Turkana County,242,,43,559
November 2024,Embu County,27,,,296
November 2024,Bungoma County,515,,,2245
November 2024,Kilifi County,4,,,36
November 2024,Nakuru County,365,,152,1468
November 2024,Siaya County,50,,4,255
November 2024,Laikipia County,9,,,257
November 2024,Kisumu County,40,,,495
November 2024,Taita Taveta County,1,,,35
November 2024,Muranga County,5,,2,32
November 2024,Machakos County,44,6,,115
November 2024,Nandi County,340,,,778
November 2024,Kisii County,508,,,2770
November 2024,Migori County,417,,,1171
November 2024,Trans Nzoia County,241,,,1223
November 2024,Marsabit County,126,,,521
November 2024,Kiambu County,18,,,79
November 2024,Kitui County,92,,,373
November 2024,Kirinyaga County,8,,,66
November 2024,Baringo County,357,,7,896
November 2024,Vihiga County,71,,,185
November 2024,Nyamira County,163,,18,520
November 2024,Kajiado County,63,,5,666
November 2024,Busia County,29,,,346
November 2024,Isiolo County,26,,,67
October 2022,Wajir County,46,,,128
October 2022,Lamu County,6,,,1
October 2022,Meru County,118,,10,134
October 2022,Garissa County,45,,,660
October 2022,Nyeri County,14,,,116
October 2022,Mombasa County,2,,,40
October 2022,Samburu County,56,,,322
October 2022,Bomet County,49,,,191
October 2022,Kakamega County,184,,,832
October 2022,Baringo County,405,,,1307
October 2022,West Pokot County,456,,46,2318
October 2022,Vihiga County,64,,,242
October 2022,Kajiado County,186,,,834
October 2022,Bungoma County,827,,,3456
October 2022,Isiolo County,104,,,374
October 2022,Migori County,423,,130,1152
October 2022,Busia County,114,,1,358
October 2022,Kiambu County,71,,,299
October 2022,Kericho County,641,,,2670
October 2022,Machakos County,65,,,116
October 2022,Tharaka Nithi County,89,,2,496
October 2022,Muranga County,22,,,48
October 2022,Kwale County,5,,,73
October 2022,Siaya County,90,,1,313
October 2022,Nakuru County,503,,3,2184
October 2022,Laikipia County,65,,,365
October 2022,Turkana County,192,,,907
October 2022,Nandi County,532,,,1086
October 2022,Kisumu County,97,,29,756
October 2022,Nyamira County,187,,73,712
October 2022,Elgeyo Marakwet County,515,,,1548
October 2022,Embu County,79,,6,337
October 2022,Nyandarua County,78,,,541
October 2022,Trans Nzoia County,473,,,1851
October 2022,Marsabit County,173,,,359
October 2022,Kitui County,90,,,369
October 2022,Kirinyaga County,10,,,90
October 2022,Narok County,720,,1,1881
October 2022,Taita Taveta County,26,,20,70
October 2022,Mandera County,54,,,752
October 2022,Homa Bay County,212,,,551
October 2022,Nairobi County,139,,62,1274
October 2022,Uasin Gishu County,412,,,1563
October 2022,Makueni County,39,,,159
October 2022,Kisii County,712,,43,3514
October 2022,Tana River County,48,,55,96
October 2022,Kilifi County,15,,,112
October 2023,Kisumu County,85,,141,546
October 2023,Kisii County,730,,,4250
October 2023,Kirinyaga County,3,,,177
October 2023,Taita Taveta County,12,,,79
October 2023,Kilifi County,38,,,11
October 2023,Makueni County,90,,,50
October 2023,Nandi County,498,,,1241
October 2023,Bomet County,99,,1,784
October 2023,Muranga County,3,,,47
October 2023,Homa Bay County,201,,3,822
October 2023,Laikipia County,35,,,88
October 2023,Kericho County,444,,102,2547
October 2023,Embu County,54,,,390
October 2023,Wajir County,67,,,377
October 2023,Narok County,783,,4,2452
October 2023,Bungoma County,622,,,2906
October 2023,Turkana County,209,,66,804
October 2023,Nyandarua County,24,,,428
October 2023,Elgeyo Marakwet County,679,,,1408
October 2023,West Pokot County,262,,,1788
October 2023,Tharaka Nithi County,28,,2,319
October 2023,Nairobi County,105,1,,1056
October 2023,Kakamega County,150,,1,944
October 2023,Mombasa County,4,,1,7
October 2023,Garissa County,88,,,640
October 2023,Meru County,67,,12,230
October 2023,Tana River County,37,,,128
October 2023,Nyeri County,10,,,137
October 2023,Lamu County,,,,11
October 2023,Kwale County,5,1,,16
October 2023,Uasin Gishu County,577,,,2059
October 2023,Mandera County,23,,,628
October 2023,Machakos County,24,,,97
October 2023,Baringo County,377,,,1231
October 2023,Vihiga County,76,,1,209
October 2023,Nyamira County,339,,,654
October 2023,Kitui County,164,,4,639
October 2023,Kiambu County,29,,1,138
October 2023,Samburu County,126,,,252
October 2023,Trans Nzoia County,389,,,2620
October 2023,Marsabit County,138,,,636
October 2023,Migori County,421,,8,1578
October 2023,Nakuru County,646,,,2605
October 2023,Kajiado County,103,,,824
October 2023,Isiolo County,100,2,,322
October 2023,Busia County,83,,,504
October 2023,Siaya County,54,,5,351
October 2024,Kwale County,1,41,,
October 2024,Lamu County,1,,,5
October 2024,Nyeri County,4,,60,146
October 2024,Meru County,53,,,90
October 2024,Baringo County,421,,,1337
October 2024,Homa Bay County,99,,,643
October 2024,Wajir County,101,,,648
October 2024,Garissa County,104,,,582
October 2024,Samburu County,29,,,351
October 2024,Mombasa County,1,,,20
October 2024,Tharaka Nithi County,70,,,228
October 2024,Nairobi County,142,,236,695
October 2024,Uasin Gishu County,522,,478,1466
