periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Brucellosis,MOH 705A Rev 2020_ Rift valley fever,MOH 705A Rev 2020_ Suspected anthrax,MOH 706_Brucella
202304,April 2023,202304,,R6f9znhg37c,Mandera County,KE_County_9,,36,,,535
202304,April 2023,202304,,jkG3zaihdSs,Nairobi County,KE_County_47,,103,124,22,863
202304,April 2023,202304,,XWALbfAPa6n,West Pokot County,KE_County_24,,302,,,1383
202304,April 2023,202304,,mYZacFNIB3h,Nyandarua County,KE_County_18,,44,,,300
202304,April 2023,202304,,uepLTG8wGWJ,Nyamira County,KE_County_46,,230,,105,600
202304,April 2023,202304,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,203,1,3,642
202304,April 2023,202304,,BjC1xL40gHo,Kakamega County,KE_County_37,,187,9,1,882
202304,April 2023,202304,,yhCUgGcCcOo,Machakos County,KE_County_16,,19,,1,209
202304,April 2023,202304,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,42,,,427
202304,April 2023,202304,,uyOrcHZBpW0,Garissa County,KE_County_7,,62,,,547
202304,April 2023,202304,,qKzosKQPl6G,Kiambu County,KE_County_22,,12,,,127
202304,April 2023,202304,,ptWVfaCIdVx,Nyeri County,KE_County_19,,16,,,91
202304,April 2023,202304,,o36zCRjSd4G,Samburu County,KE_County_25,,24,,,327
202304,April 2023,202304,,u4t9H8XyU9P,Siaya County,KE_County_41,,84,,3,500
202304,April 2023,202304,,nrI2khZx3d0,Kilifi County,KE_County_3,,,,22,10
202304,April 2023,202304,,NjWSbQTwys4,Lamu County,KE_County_5,,1,,5,1
202304,April 2023,202304,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,610,,65,1429
202304,April 2023,202304,,ob6SxuRcqU4,Nakuru County,KE_County_32,,326,,2,2108
202304,April 2023,202304,,sANMZ3lpqGs,Vihiga County,KE_County_38,,30,,1,157
202304,April 2023,202304,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1,,67,25
202304,April 2023,202304,,vvOK1BxTbet,Baringo County,KE_County_30,,353,,,901
202304,April 2023,202304,,mThvosEflAU,Trans Nzoia County,KE_County_26,,322,,,1954
202304,April 2023,202304,,j8o6iO4Njsi,Kitui County,KE_County_15,,87,,,403
202304,April 2023,202304,,Eey8fT4Im3y,Marsabit County,KE_County_10,,119,,,367
202304,April 2023,202304,,Y52XNJ50hYb,Meru County,KE_County_12,,148,,146,133
202404,April 2024,202404,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,34,,1,370
202404,April 2024,202404,,jkG3zaihdSs,Nairobi County,KE_County_47,,76,,97,755
202404,April 2024,202404,,R6f9znhg37c,Mandera County,KE_County_9,,67,,,227
202404,April 2024,202404,,BjC1xL40gHo,Kakamega County,KE_County_37,,117,,5,578
202404,April 2024,202404,,XWALbfAPa6n,West Pokot County,KE_County_24,,397,,,1411
202404,April 2024,202404,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,81,,,474
202404,April 2024,202404,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1,,39,12
202404,April 2024,202404,,kqJ83J2D72s,Narok County,KE_County_33,,613,,,1277
202404,April 2024,202404,,CeLsrJOH0g9,Wajir County,KE_County_8,,56,,,545
202404,April 2024,202404,,N7YETT3A9r1,Kwale County,KE_County_2,,23,,17,15
202404,April 2024,202404,,uyOrcHZBpW0,Garissa County,KE_County_7,,86,,,778
202404,April 2024,202404,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,106,,340,664
202404,April 2024,202404,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,,,131
202404,April 2024,202404,,JsH2bnvNt2d,Tana River County,KE_County_4,,21,,,99
202404,April 2024,202404,,NjWSbQTwys4,Lamu County,KE_County_5,,1,,,1
202404,April 2024,202404,,ahwTMNAJvrL,Muranga County,KE_County_21,,51,,,56
202404,April 2024,202404,,ihZsJ8alvtb,Kericho County,KE_County_35,,396,,,1379
202404,April 2024,202404,,PFu8alU2KWG,Embu County,KE_County_14,,33,,,351
202404,April 2024,202404,,xuFdFy6t9AH,Laikipia County,KE_County_31,,30,,,160
202404,April 2024,202404,,kphDeKClFch,Turkana County,KE_County_23,,161,,,685
202404,April 2024,202404,,mYZacFNIB3h,Nyandarua County,KE_County_18,,9,,,170
202404,April 2024,202404,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,357,,,1084
202404,April 2024,202404,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,557,,,2258
202404,April 2024,202404,,HMNARUV2CW4,Bomet County,KE_County_36,,155,,,498
202404,April 2024,202404,,tAbBVBbueqD,Kisumu County,KE_County_42,,112,,131,429
202404,April 2024,202404,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,5,,,54
202404,April 2024,202404,,ob6SxuRcqU4,Nakuru County,KE_County_32,,281,,,2261
202404,April 2024,202404,,nrI2khZx3d0,Kilifi County,KE_County_3,,9,,75,22
202404,April 2024,202404,,t0J75eHKxz5,Nandi County,KE_County_29,,395,,,1238
202404,April 2024,202404,,sPkRcDvhGWA,Kisii County,KE_County_45,,489,,,3001
202404,April 2024,202404,,yhCUgGcCcOo,Machakos County,KE_County_16,,39,,,200
202404,April 2024,202404,,uepLTG8wGWJ,Nyamira County,KE_County_46,,171,,,508
202404,April 2024,202404,,qKzosKQPl6G,Kiambu County,KE_County_22,,20,,,58
202404,April 2024,202404,,sANMZ3lpqGs,Vihiga County,KE_County_38,,96,,4,142
202404,April 2024,202404,,vvOK1BxTbet,Baringo County,KE_County_30,,299,,,831
202404,April 2024,202404,,j8o6iO4Njsi,Kitui County,KE_County_15,,91,,,308
202404,April 2024,202404,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,428,,1,1079
202404,April 2024,202404,,BoDytkJQ4Qi,Makueni County,KE_County_17,,31,,,74
202404,April 2024,202404,,fVra3Pwta0Q,Migori County,KE_County_44,,287,,,1375
202404,April 2024,202404,,o36zCRjSd4G,Samburu County,KE_County_25,,25,,,99
202404,April 2024,202404,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,6,,,65
202404,April 2024,202404,,u4t9H8XyU9P,Siaya County,KE_County_41,,43,,5,330
202404,April 2024,202404,,Y52XNJ50hYb,Meru County,KE_County_12,,34,,1,176
202404,April 2024,202404,,Tvf1zgVZ0K4,Busia County,KE_County_40,,44,,,232
202404,April 2024,202404,,bzOfj0iwfDH,Isiolo County,KE_County_11,,26,,,131
202404,April 2024,202404,,Eey8fT4Im3y,Marsabit County,KE_County_10,,156,,3,506
202404,April 2024,202404,,mThvosEflAU,Trans Nzoia County,KE_County_26,,267,,1,1143
202208,August 2022,202208,,uyOrcHZBpW0,Garissa County,KE_County_7,,65,,,557
202208,August 2022,202208,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,759,,,3136
202208,August 2022,202208,,wsBsC6gjHvn,Mombasa County,KE_County_1,,4,,1,34
202208,August 2022,202208,,Y52XNJ50hYb,Meru County,KE_County_12,,76,,,123
202208,August 2022,202208,,CeLsrJOH0g9,Wajir County,KE_County_8,,45,,,378
202208,August 2022,202208,,XWALbfAPa6n,West Pokot County,KE_County_24,,357,,,1775
202208,August 2022,202208,,BjC1xL40gHo,Kakamega County,KE_County_37,,183,,5,649
202208,August 2022,202208,,jkG3zaihdSs,Nairobi County,KE_County_47,,183,,,1165
202208,August 2022,202208,,bzOfj0iwfDH,Isiolo County,KE_County_11,,98,,,272
202208,August 2022,202208,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,84,,,537
202208,August 2022,202208,,HMNARUV2CW4,Bomet County,KE_County_36,,62,,2,240
202208,August 2022,202208,,o36zCRjSd4G,Samburu County,KE_County_25,,40,,,242
202208,August 2022,202208,,j8o6iO4Njsi,Kitui County,KE_County_15,,53,,,423
202208,August 2022,202208,,mThvosEflAU,Trans Nzoia County,KE_County_26,,302,,,1392
202208,August 2022,202208,,vvOK1BxTbet,Baringo County,KE_County_30,,371,,,966
202208,August 2022,202208,,mYZacFNIB3h,Nyandarua County,KE_County_18,,150,,,504
202208,August 2022,202208,,BoDytkJQ4Qi,Makueni County,KE_County_17,,73,,,205
202208,August 2022,202208,,JsH2bnvNt2d,Tana River County,KE_County_4,,26,,4,108
202208,August 2022,202208,,kqJ83J2D72s,Narok County,KE_County_33,,328,,,1768
202208,August 2022,202208,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,353,,,1321
202208,August 2022,202208,,R6f9znhg37c,Mandera County,KE_County_9,,89,,,374
202208,August 2022,202208,,sPkRcDvhGWA,Kisii County,KE_County_45,,538,,,2656
202208,August 2022,202208,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,8,,,63
202208,August 2022,202208,,NjWSbQTwys4,Lamu County,KE_County_5,,1,,,1
202208,August 2022,202208,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,185,,,662
202208,August 2022,202208,,tAbBVBbueqD,Kisumu County,KE_County_42,,92,,1,497
202208,August 2022,202208,,nrI2khZx3d0,Kilifi County,KE_County_3,,7,,14,12
202208,August 2022,202208,,u4t9H8XyU9P,Siaya County,KE_County_41,,99,,,395
202208,August 2022,202208,,ob6SxuRcqU4,Nakuru County,KE_County_32,,643,,1,1993
202208,August 2022,202208,,kphDeKClFch,Turkana County,KE_County_23,,135,,,859
202208,August 2022,202208,,t0J75eHKxz5,Nandi County,KE_County_29,,520,,97,877
202208,August 2022,202208,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,417,,,1208
202208,August 2022,202208,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2,,,110
202208,August 2022,202208,,PFu8alU2KWG,Embu County,KE_County_14,,61,,,523
202208,August 2022,202208,,Eey8fT4Im3y,Marsabit County,KE_County_10,,182,,,377
202208,August 2022,202208,,xuFdFy6t9AH,Laikipia County,KE_County_31,,55,,,152
202208,August 2022,202208,,qKzosKQPl6G,Kiambu County,KE_County_22,,56,,,99
202208,August 2022,202208,,ihZsJ8alvtb,Kericho County,KE_County_35,,570,,,2106
202208,August 2022,202208,,Tvf1zgVZ0K4,Busia County,KE_County_40,,108,,,281
202208,August 2022,202208,,fVra3Pwta0Q,Migori County,KE_County_44,,477,,70,1140
202208,August 2022,202208,,sANMZ3lpqGs,Vihiga County,KE_County_38,,68,,,265
202208,August 2022,202208,,ahwTMNAJvrL,Muranga County,KE_County_21,,9,,,95
202208,August 2022,202208,,uepLTG8wGWJ,Nyamira County,KE_County_46,,112,,,724
202208,August 2022,202208,,N7YETT3A9r1,Kwale County,KE_County_2,,4,,,8
202208,August 2022,202208,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,122,,1,335
202208,August 2022,202208,,yhCUgGcCcOo,Machakos County,KE_County_16,,60,,,159
202208,August 2022,202208,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1,,,135
202308,August 2023,202308,,xuFdFy6t9AH,Laikipia County,KE_County_31,,28,,2,476
202308,August 2023,202308,,t0J75eHKxz5,Nandi County,KE_County_29,,519,,,1223
202308,August 2023,202308,,kphDeKClFch,Turkana County,KE_County_23,,225,,,1049
202308,August 2023,202308,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,671,,,1766
202308,August 2023,202308,,ahwTMNAJvrL,Muranga County,KE_County_21,,9,,,28
202308,August 2023,202308,,ob6SxuRcqU4,Nakuru County,KE_County_32,,460,,1,2555
202308,August 2023,202308,,mYZacFNIB3h,Nyandarua County,KE_County_18,,35,,,362
