year,date,diagnosis,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,catt_pop,goat_pop,sheep_pop,cam_pop,pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
2015,2015-12-01,Lab confirmed,23151,0,0,1,1,15774818,28011800,19307445,4640085,44279007,522.843703337792,0,0,0.0356992410341356,0.0517934920959247
2016,2016-01-01,Clinically confirmed,8514,0,0,0,0,15774818,28011800,19307445,4640085,45076470,188.879031565693,0,0,0,0
2016,2016-01-01,Lab confirmed,28456,0,0,0,0,15774818,28011800,19307445,4640085,45076470,631.282795658134,0,0,0,0
2016,2016-02-01,Clinically confirmed,9496,0,0,0,0,15774818,28011800,19307445,4640085,45076470,210.664233468149,0,0,0,0
2016,2016-02-01,Lab confirmed,34807,0,0,0,0,15774818,28011800,19307445,4640085,45076470,772.176703277786,0,0,0,0
2016,2016-03-01,Clinically confirmed,9195,0,0,0,0,15774818,28011800,19307445,4640085,45076470,203.986691948149,0,0,0,0
2016,2016-03-01,Lab confirmed,33383,0,0,0,0,15774818,28011800,19307445,4640085,45076470,740.585942066892,0,0,0,0
2016,2016-04-01,Clinically confirmed,7788,0,0,0,0,15774818,28011800,19307445,4640085,45076470,172.773067633734,0,0,0,0
2016,2016-04-01,Lab confirmed,29120,0,0,0,0,15774818,28011800,19307445,4640085,45076470,646.013319144112,0,0,0,0
2016,2016-05-01,Clinically confirmed,8847,0,0,0,0,15774818,28011800,19307445,4640085,45076470,196.266477832004,0,0,0,0
2016,2016-05-01,Lab confirmed,32804,0,0,0,0,15774818,28011800,19307445,4640085,45076470,727.741103063306,0,0,0,0
2016,2016-06-01,Clinically confirmed,9592,0,0,0,0,15774818,28011800,19307445,4640085,45076470,212.793947707085,0,0,0,0
2016,2016-06-01,Lab confirmed,37948,0,0,0,0,15774818,28011800,19307445,4640085,45076470,841.858291032994,0,0,0,0
2016,2016-07-01,Clinically confirmed,10052,0,0,0,0,15774818,28011800,19307445,4640085,45076470,222.998828435323,0,0,0,0
2016,2016-07-01,Lab confirmed,41636,0,0,0,0,15774818,28011800,19307445,4640085,45076470,923.674813045476,0,0,0,0
2016,2016-08-01,Clinically confirmed,10700,0,0,8,0,15774818,28011800,19307445,4640085,45076470,237.374399548146,0,0,0.285593928273085,0
2016,2016-08-01,Lab confirmed,42143,0,0,0,0,15774818,28011800,19307445,4640085,45076470,934.92236636986,0,0,0,0
2016,2016-09-01,Clinically confirmed,10958,0,0,0,0,15774818,28011800,19307445,4640085,45076470,243.098006565288,0,0,0,0
2016,2016-09-01,Lab confirmed,43799,0,0,0,0,15774818,28011800,19307445,4640085,45076470,971.659936991517,0,0,0,0
2016,2016-10-01,Clinically confirmed,10462,0,0,0,0,15774818,28011800,19307445,4640085,45076470,232.094482997449,0,0,0,0
2016,2016-10-01,Lab confirmed,42498,0,0,0,0,15774818,28011800,19307445,4640085,45076470,942.797872149261,0,0,0,0
2016,2016-11-01,Clinically confirmed,10136,0,0,0,0,15774818,28011800,19307445,4640085,45076470,224.862328394393,0,0,0,0
2016,2016-11-01,Lab confirmed,34834,0,0,0,0,15774818,28011800,19307445,4640085,45076470,772.775685407486,0,0,0,0
2016,2016-12-01,Clinically confirmed,6839,0,0,0,0,15774818,28011800,19307445,4640085,45076470,151.719955000913,0,0,0,0
2016,2016-12-01,Lab confirmed,25475,0,0,0,0,15774818,28011800,19307445,4640085,45076470,565.150731634487,0,0,0,0
2017,2017-01-01,Clinically confirmed,9779,1,0,0,0,15774818,28011800,19307445,4640085,45889619,213.098304433515,0.0633921735261859,0,0,0
2017,2017-01-01,Lab confirmed,33841,0,0,0,0,15774818,28011800,19307445,4640085,45889619,737.443472781938,0,0,0,0
2017,2017-02-01,Clinically confirmed,9578,0,0,0,0,15774818,28011800,19307445,4640085,45889619,208.71822884387,0,0,0,0
2017,2017-02-01,Lab confirmed,36393,0,0,0,0,15774818,28011800,19307445,4640085,45889619,793.055178775836,0,0,0,0
2017,2017-03-01,Clinically confirmed,11317,0,0,0,0,15774818,28011800,19307445,4640085,45889619,246.613509691593,0,0,0,0
2017,2017-03-01,Lab confirmed,42180,0,0,0,0,15774818,28011800,19307445,4640085,45889619,919.162131200087,0,0,0,0
2017,2017-04-01,Clinically confirmed,9201,0,0,0,0,15774818,28011800,19307445,4640085,45889619,200.50286318568,0,0,0,0
2017,2017-04-01,Lab confirmed,37864,0,0,0,0,15774818,28011800,19307445,4640085,45889619,825.110358837366,0,0,0,0
2017,2017-05-01,Clinically confirmed,9420,0,0,0,0,15774818,28011800,19307445,4640085,45889619,205.275184350517,0,0,0,0
2017,2017-05-01,Lab confirmed,38429,0,0,0,0,15774818,28011800,19307445,4640085,45889619,837.422511614228,0,0,0,0
2017,2017-06-01,Clinically confirmed,7411,0,0,0,0,15774818,28011800,19307445,4640085,45889619,161.496219874913,0,0,0,0
2017,2017-06-01,Lab confirmed,33203,0,0,0,0,15774818,28011800,19307445,4640085,45889619,723.540546283464,0,0,0,0
2017,2017-07-01,Clinically confirmed,7162,0,0,0,0,15774818,28011800,19307445,4640085,45889619,156.070156084756,0,0,0,0
2017,2017-07-01,Lab confirmed,31036,0,0,0,0,15774818,28011800,19307445,4640085,45889619,676.318537314507,0,0,0,0
2017,2017-08-01,Clinically confirmed,6380,0,0,0,0,15774818,28011800,19307445,4640085,45889619,139.029264984745,0,0,0,0
2017,2017-08-01,Lab confirmed,29308,0,0,0,0,15774818,28011800,19307445,4640085,45889619,638.662962096068,0,0,0,0
2017,2017-09-01,Clinically confirmed,7177,0,0,0,0,15774818,28011800,19307445,4640085,45889619,156.397027397416,0,0,0,0
2017,2017-09-01,Lab confirmed,28012,0,0,0,0,15774818,28011800,19307445,4640085,45889619,610.421280682239,0,0,0,0
2017,2017-10-01,Clinically confirmed,7817,0,0,0,0,15774818,28011800,19307445,4640085,45889619,170.343536737579,0,0,0,0
2017,2017-10-01,Lab confirmed,32456,0,0,0,0,15774818,28011800,19307445,4640085,45889619,707.262354912992,0,0,0,0
2017,2017-11-01,Clinically confirmed,9053,1,0,10,0,15774818,28011800,19307445,4640085,45889619,197.277732900768,0.0633921735261859,0,0.356992410341356,0
2017,2017-11-01,Lab confirmed,36518,0,0,0,0,15774818,28011800,19307445,4640085,45889619,795.779106381337,0,0,0,0
2017,2017-12-01,Clinically confirmed,8036,0,0,0,0,15774818,28011800,19307445,4640085,45889619,175.115857902416,0,0,0,0
2017,2017-12-01,Lab confirmed,36499,0,0,0,0,15774818,28011800,19307445,4640085,45889619,795.3650693853,0,0,0,0
2018,2018-01-01,Clinically confirmed,10586,0,0,1,0,15774818,28011800,19307445,4640085,46718782,226.589811352531,0,0,0.0356992410341356,0
2018,2018-01-01,Lab confirmed,45123,0,0,0,0,15774818,28011800,19307445,4640085,46718782,965.842816706994,0,0,0,0
2018,2018-02-01,Clinically confirmed,10398,1,0,0,0,15774818,28011800,19307445,4640085,46718782,222.565733841263,0.0633921735261859,0,0,0
2018,2018-02-01,Lab confirmed,44086,0,0,0,0,15774818,28011800,19307445,4640085,46718782,943.646176392184,0,0,0,0
2018,2018-03-01,Clinically confirmed,9758,0,0,1,0,15774818,28011800,19307445,4640085,46718782,208.866746568864,0,0,0.0356992410341356,0
2018,2018-03-01,Lab confirmed,42332,0,0,0,0,15774818,28011800,19307445,4640085,46718782,906.102389398765,0,0,0,0
2018,2018-04-01,Clinically confirmed,8888,1,0,0,0,15774818,28011800,19307445,4640085,46718782,190.244685745446,0.0633921735261859,0,0,0
2018,2018-04-01,Lab confirmed,40234,0,0,0,0,15774818,28011800,19307445,4640085,46718782,861.195396746431,0,0,0,0
2018,2018-05-01,Clinically confirmed,11585,0,0,0,0,15774818,28011800,19307445,4640085,46718782,247.973074298041,0,0,0,0
2018,2018-05-01,Lab confirmed,46610,0,0,0,0,15774818,28011800,19307445,4640085,46718782,997.671557447709,0,0,0,0
2018,2018-06-01,Clinically confirmed,10862,2,0,0,0,15774818,28011800,19307445,4640085,46718782,232.497499613753,0.126784347052372,0,0,0
2018,2018-06-01,Lab confirmed,47520,0,0,0,0,15774818,28011800,19307445,4640085,46718782,1017.14980497565,0,0,0,0
2018,2018-07-01,Clinically confirmed,11796,21,0,23,0,15774818,28011800,19307445,4640085,46718782,252.489459164411,1.3312356440499,0,0.821082543785119,0
2018,2018-07-01,Lab confirmed,51461,0,0,0,0,15774818,28011800,19307445,4640085,46718782,1101.50560003897,0,0,0,0
2018,2018-08-01,Clinically confirmed,10493,0,0,0,0,15774818,28011800,19307445,4640085,46718782,224.59917726451,0,0,0,0
2018,2018-08-01,Lab confirmed,44487,0,0,0,0,15774818,28011800,19307445,4640085,46718782,952.229448105047,0,0,0,0
2018,2018-09-01,Clinically confirmed,11214,2,0,0,0,15774818,28011800,19307445,4640085,46718782,240.031942613572,0.126784347052372,0,0,0
2018,2018-09-01,Lab confirmed,43848,0,0,0,0,15774818,28011800,19307445,4640085,46718782,938.551865500261,0,0,0,0
2018,2018-10-01,Clinically confirmed,11746,2,0,0,0,15774818,28011800,19307445,4640085,46718782,251.419225783754,0.126784347052372,0,0,0
2018,2018-10-01,Lab confirmed,47553,0,0,0,0,15774818,28011800,19307445,4640085,46718782,1017.85615900689,0,0,0,0
2018,2018-11-01,Clinically confirmed,10263,1,0,0,0,15774818,28011800,19307445,4640085,46718782,219.676103713492,0.0633921735261859,0,0,0
2018,2018-11-01,Lab confirmed,42077,0,0,0,0,15774818,28011800,19307445,4640085,46718782,900.644199157418,0,0,0,0
2018,2018-12-01,Clinically confirmed,8665,0,0,0,0,15774818,28011800,19307445,4640085,46718782,185.471444867719,0,0,0,0
2018,2018-12-01,Lab confirmed,36713,0,0,0,0,15774818,28011800,19307445,4640085,46718782,785.829562080621,0,0,0,0
2018,2018-06-01,Post Mortem,0,1,0,0,0,15774818,28011800,19307445,4640085,46718782,0,0.0633921735261859,0,0,0
2019,2019-01-01,Clinically confirmed,11698,2,0,0,0,15774818,28011800,19307445,4640085,47564296,245.94077877238,0.126784347052372,0,0,0
2019,2019-02-01,Clinically confirmed,10732.3,2,0,10,0,15774818,28011800,19307445,4640085,47564296,225.637734657105,0.126784347052372,0,0.356992410341356,0
2019,2019-02-01,Lab confirmed,41363,0,0,0,0,15774818,28011800,19307445,4640085,47564296,869.622878471701,0,0,0,0
2019,2019-03-01,Clinically confirmed,11759,2,0,0,9,15774818,28011800,19307445,4640085,47564296,247.22325334112,0.126784347052372,0,0,0.466141428863322
2019,2019-01-01,Lab confirmed,45538,0,0,0,0,15774818,28011800,19307445,4640085,47564296,957.398801823956,0,0,0,0
2019,2019-04-01,Clinically confirmed,12492,0,0,0,0,15774818,28011800,19307445,4640085,47564296,262.633972339252,0,0,0,0
2019,2019-04-01,Lab confirmed,46068,0,0,0,0,15774818,28011800,19307445,4640085,47564296,968.54161365071,0,0,0,0
2019,2019-05-01,Clinically confirmed,11583,24,0,24,6,15774818,28011800,19307445,4640085,47564296,243.522998847707,1.52141216462846,0,0.856781784819255,0.310760952575548
2019,2019-05-01,Lab confirmed,46468,24,0,0,0,15774818,28011800,19307445,4640085,47564296,976.95128295392,1.52141216462846,0,0,0
2019,2019-06-01,Clinically confirmed,10341,6,0,0,0,15774818,28011800,19307445,4640085,47564296,217.41097566124,0.380353041157115,0,0,0
2019,2019-06-01,Lab confirmed,45151,0,0,0,0,15774818,28011800,19307445,4640085,47564296,949.262446773101,0,0,0,0
2019,2019-07-01,Clinically confirmed,12641,16,0,9,0,15774818,28011800,19307445,4640085,47564296,265.766574154698,1.01427477641897,0,0.321293169307221,0
2019,2019-07-01,Lab confirmed,53187,0,0,0,0,15774818,28011800,19307445,4640085,47564296,1118.21270307459,0,0,0,0
2019,2019-08-01,Clinically confirmed,10942,3,0,2,0,15774818,28011800,19307445,4640085,47564296,230.046503789313,0.190176520578558,0,0.0713984820682712,0
2019,2019-08-01,Lab confirmed,48625,0,0,0,0,15774818,28011800,19307445,4640085,47564296,1022.30042467148,0,0,0,0
2019,2019-09-01,Clinically confirmed,12616,2,0,13,2,15774818,28011800,19307445,4640085,47564296,265.240969823247,0.126784347052372,0,0.464090133443763,0.103586984191849
2019,2019-09-01,Lab confirmed,50680,0,0,0,0,15774818,28011800,19307445,4640085,47564296,1065.50510071672,0,0,0,0
