periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,rabies
201401,Jan-14,201401,,vvOK1BxTbet,Baringo County,KE_County_30,,
201401,Jan-14,201401,,HMNARUV2CW4,Bomet County,KE_County_36,,
201401,Jan-14,201401,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201401,Jan-14,201401,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201401,Jan-14,201401,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201401,Jan-14,201401,,PFu8alU2KWG,Embu County,KE_County_14,,
201401,Jan-14,201401,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201401,Jan-14,201401,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201401,Jan-14,201401,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201401,Jan-14,201401,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201401,Jan-14,201401,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201401,Jan-14,201401,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201401,Jan-14,201401,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201401,Jan-14,201401,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201401,Jan-14,201401,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201401,Jan-14,201401,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201401,Jan-14,201401,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201401,Jan-14,201401,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201401,Jan-14,201401,,N7YETT3A9r1,Kwale County,KE_County_2,,
201401,Jan-14,201401,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201401,Jan-14,201401,,NjWSbQTwys4,Lamu County,KE_County_5,,
201401,Jan-14,201401,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201401,Jan-14,201401,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201401,Jan-14,201401,,R6f9znhg37c,Mandera County,KE_County_9,,
201401,Jan-14,201401,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201401,Jan-14,201401,,Y52XNJ50hYb,Meru County,KE_County_12,,
201401,Jan-14,201401,,fVra3Pwta0Q,Migori County,KE_County_44,,
201401,Jan-14,201401,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201401,Jan-14,201401,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201401,Jan-14,201401,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201401,Jan-14,201401,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201401,Jan-14,201401,,t0J75eHKxz5,Nandi County,KE_County_29,,
201401,Jan-14,201401,,kqJ83J2D72s,Narok County,KE_County_33,,
201401,Jan-14,201401,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201401,Jan-14,201401,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201401,Jan-14,201401,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201401,Jan-14,201401,,o36zCRjSd4G,Samburu County,KE_County_25,,
201401,Jan-14,201401,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201401,Jan-14,201401,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201401,Jan-14,201401,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201401,Jan-14,201401,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201401,Jan-14,201401,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201401,Jan-14,201401,,kphDeKClFch,Turkana County,KE_County_23,,
201401,Jan-14,201401,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201401,Jan-14,201401,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201401,Jan-14,201401,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201401,Jan-14,201401,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201402,Feb-14,201402,,vvOK1BxTbet,Baringo County,KE_County_30,,
201402,Feb-14,201402,,HMNARUV2CW4,Bomet County,KE_County_36,,
201402,Feb-14,201402,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201402,Feb-14,201402,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201402,Feb-14,201402,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201402,Feb-14,201402,,PFu8alU2KWG,Embu County,KE_County_14,,
201402,Feb-14,201402,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201402,Feb-14,201402,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201402,Feb-14,201402,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201402,Feb-14,201402,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201402,Feb-14,201402,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201402,Feb-14,201402,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201402,Feb-14,201402,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201402,Feb-14,201402,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201402,Feb-14,201402,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201402,Feb-14,201402,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201402,Feb-14,201402,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201402,Feb-14,201402,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201402,Feb-14,201402,,N7YETT3A9r1,Kwale County,KE_County_2,,
201402,Feb-14,201402,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201402,Feb-14,201402,,NjWSbQTwys4,Lamu County,KE_County_5,,
201402,Feb-14,201402,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201402,Feb-14,201402,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201402,Feb-14,201402,,R6f9znhg37c,Mandera County,KE_County_9,,
201402,Feb-14,201402,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201402,Feb-14,201402,,Y52XNJ50hYb,Meru County,KE_County_12,,
201402,Feb-14,201402,,fVra3Pwta0Q,Migori County,KE_County_44,,
201402,Feb-14,201402,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201402,Feb-14,201402,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201402,Feb-14,201402,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201402,Feb-14,201402,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201402,Feb-14,201402,,t0J75eHKxz5,Nandi County,KE_County_29,,
201402,Feb-14,201402,,kqJ83J2D72s,Narok County,KE_County_33,,
201402,Feb-14,201402,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201402,Feb-14,201402,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201402,Feb-14,201402,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201402,Feb-14,201402,,o36zCRjSd4G,Samburu County,KE_County_25,,
201402,Feb-14,201402,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201402,Feb-14,201402,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201402,Feb-14,201402,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201402,Feb-14,201402,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201402,Feb-14,201402,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201402,Feb-14,201402,,kphDeKClFch,Turkana County,KE_County_23,,
201402,Feb-14,201402,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201402,Feb-14,201402,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201402,Feb-14,201402,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201402,Feb-14,201402,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201403,Mar-14,201403,,vvOK1BxTbet,Baringo County,KE_County_30,,
201403,Mar-14,201403,,HMNARUV2CW4,Bomet County,KE_County_36,,
201403,Mar-14,201403,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201403,Mar-14,201403,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201403,Mar-14,201403,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201403,Mar-14,201403,,PFu8alU2KWG,Embu County,KE_County_14,,
201403,Mar-14,201403,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201403,Mar-14,201403,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201403,Mar-14,201403,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201403,Mar-14,201403,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201403,Mar-14,201403,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201403,Mar-14,201403,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201403,Mar-14,201403,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201403,Mar-14,201403,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201403,Mar-14,201403,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201403,Mar-14,201403,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201403,Mar-14,201403,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201403,Mar-14,201403,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201403,Mar-14,201403,,N7YETT3A9r1,Kwale County,KE_County_2,,
201403,Mar-14,201403,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201403,Mar-14,201403,,NjWSbQTwys4,Lamu County,KE_County_5,,
201403,Mar-14,201403,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201403,Mar-14,201403,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201403,Mar-14,201403,,R6f9znhg37c,Mandera County,KE_County_9,,
201403,Mar-14,201403,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201403,Mar-14,201403,,Y52XNJ50hYb,Meru County,KE_County_12,,
201403,Mar-14,201403,,fVra3Pwta0Q,Migori County,KE_County_44,,
201403,Mar-14,201403,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201403,Mar-14,201403,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201403,Mar-14,201403,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201403,Mar-14,201403,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201403,Mar-14,201403,,t0J75eHKxz5,Nandi County,KE_County_29,,
201403,Mar-14,201403,,kqJ83J2D72s,Narok County,KE_County_33,,
201403,Mar-14,201403,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201403,Mar-14,201403,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201403,Mar-14,201403,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201403,Mar-14,201403,,o36zCRjSd4G,Samburu County,KE_County_25,,
201403,Mar-14,201403,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201403,Mar-14,201403,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201403,Mar-14,201403,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201403,Mar-14,201403,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201403,Mar-14,201403,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201403,Mar-14,201403,,kphDeKClFch,Turkana County,KE_County_23,,
201403,Mar-14,201403,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201403,Mar-14,201403,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201403,Mar-14,201403,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201403,Mar-14,201403,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201404,Apr-14,201404,,vvOK1BxTbet,Baringo County,KE_County_30,,
201404,Apr-14,201404,,HMNARUV2CW4,Bomet County,KE_County_36,,
201404,Apr-14,201404,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201404,Apr-14,201404,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201404,Apr-14,201404,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201404,Apr-14,201404,,PFu8alU2KWG,Embu County,KE_County_14,,
201404,Apr-14,201404,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201404,Apr-14,201404,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201404,Apr-14,201404,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201404,Apr-14,201404,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201404,Apr-14,201404,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201404,Apr-14,201404,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201404,Apr-14,201404,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201404,Apr-14,201404,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201404,Apr-14,201404,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201404,Apr-14,201404,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201404,Apr-14,201404,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201404,Apr-14,201404,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201404,Apr-14,201404,,N7YETT3A9r1,Kwale County,KE_County_2,,
201404,Apr-14,201404,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201404,Apr-14,201404,,NjWSbQTwys4,Lamu County,KE_County_5,,
201404,Apr-14,201404,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201404,Apr-14,201404,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201404,Apr-14,201404,,R6f9znhg37c,Mandera County,KE_County_9,,
201404,Apr-14,201404,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201404,Apr-14,201404,,Y52XNJ50hYb,Meru County,KE_County_12,,
201404,Apr-14,201404,,fVra3Pwta0Q,Migori County,KE_County_44,,
201404,Apr-14,201404,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201404,Apr-14,201404,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201404,Apr-14,201404,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201404,Apr-14,201404,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201404,Apr-14,201404,,t0J75eHKxz5,Nandi County,KE_County_29,,
201404,Apr-14,201404,,kqJ83J2D72s,Narok County,KE_County_33,,
201404,Apr-14,201404,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201404,Apr-14,201404,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201404,Apr-14,201404,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201404,Apr-14,201404,,o36zCRjSd4G,Samburu County,KE_County_25,,
201404,Apr-14,201404,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201404,Apr-14,201404,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201404,Apr-14,201404,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201404,Apr-14,201404,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201404,Apr-14,201404,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201404,Apr-14,201404,,kphDeKClFch,Turkana County,KE_County_23,,
201404,Apr-14,201404,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201404,Apr-14,201404,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201404,Apr-14,201404,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201404,Apr-14,201404,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201405,May-14,201405,,vvOK1BxTbet,Baringo County,KE_County_30,,
201405,May-14,201405,,HMNARUV2CW4,Bomet County,KE_County_36,,
201405,May-14,201405,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201405,May-14,201405,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201405,May-14,201405,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201405,May-14,201405,,PFu8alU2KWG,Embu County,KE_County_14,,
201405,May-14,201405,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201405,May-14,201405,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201405,May-14,201405,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201405,May-14,201405,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201405,May-14,201405,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201405,May-14,201405,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201405,May-14,201405,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201405,May-14,201405,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201405,May-14,201405,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201405,May-14,201405,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201405,May-14,201405,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201405,May-14,201405,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201405,May-14,201405,,N7YETT3A9r1,Kwale County,KE_County_2,,
201405,May-14,201405,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201405,May-14,201405,,NjWSbQTwys4,Lamu County,KE_County_5,,
201405,May-14,201405,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201405,May-14,201405,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201405,May-14,201405,,R6f9znhg37c,Mandera County,KE_County_9,,
201405,May-14,201405,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201405,May-14,201405,,Y52XNJ50hYb,Meru County,KE_County_12,,
201405,May-14,201405,,fVra3Pwta0Q,Migori County,KE_County_44,,
201405,May-14,201405,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201405,May-14,201405,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201405,May-14,201405,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201405,May-14,201405,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201405,May-14,201405,,t0J75eHKxz5,Nandi County,KE_County_29,,
201405,May-14,201405,,kqJ83J2D72s,Narok County,KE_County_33,,
201405,May-14,201405,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201405,May-14,201405,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201405,May-14,201405,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201405,May-14,201405,,o36zCRjSd4G,Samburu County,KE_County_25,,
201405,May-14,201405,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201405,May-14,201405,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201405,May-14,201405,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201405,May-14,201405,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201405,May-14,201405,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201405,May-14,201405,,kphDeKClFch,Turkana County,KE_County_23,,
201405,May-14,201405,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201405,May-14,201405,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201405,May-14,201405,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201405,May-14,201405,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201406,Jun-14,201406,,vvOK1BxTbet,Baringo County,KE_County_30,,
201406,Jun-14,201406,,HMNARUV2CW4,Bomet County,KE_County_36,,
201406,Jun-14,201406,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201406,Jun-14,201406,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201406,Jun-14,201406,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201406,Jun-14,201406,,PFu8alU2KWG,Embu County,KE_County_14,,
201406,Jun-14,201406,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201406,Jun-14,201406,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201406,Jun-14,201406,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201406,Jun-14,201406,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201406,Jun-14,201406,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201406,Jun-14,201406,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201406,Jun-14,201406,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201406,Jun-14,201406,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201406,Jun-14,201406,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201406,Jun-14,201406,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201406,Jun-14,201406,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201406,Jun-14,201406,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201406,Jun-14,201406,,N7YETT3A9r1,Kwale County,KE_County_2,,
201406,Jun-14,201406,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201406,Jun-14,201406,,NjWSbQTwys4,Lamu County,KE_County_5,,
201406,Jun-14,201406,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201406,Jun-14,201406,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201406,Jun-14,201406,,R6f9znhg37c,Mandera County,KE_County_9,,
201406,Jun-14,201406,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201406,Jun-14,201406,,Y52XNJ50hYb,Meru County,KE_County_12,,
201406,Jun-14,201406,,fVra3Pwta0Q,Migori County,KE_County_44,,
201406,Jun-14,201406,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201406,Jun-14,201406,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201406,Jun-14,201406,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201406,Jun-14,201406,,ob6SxuRcqU4,Nakuru County,KE_County_32,,
201406,Jun-14,201406,,t0J75eHKxz5,Nandi County,KE_County_29,,
201406,Jun-14,201406,,kqJ83J2D72s,Narok County,KE_County_33,,
201406,Jun-14,201406,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201406,Jun-14,201406,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201406,Jun-14,201406,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201406,Jun-14,201406,,o36zCRjSd4G,Samburu County,KE_County_25,,
201406,Jun-14,201406,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201406,Jun-14,201406,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201406,Jun-14,201406,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201406,Jun-14,201406,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201406,Jun-14,201406,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201406,Jun-14,201406,,kphDeKClFch,Turkana County,KE_County_23,,
201406,Jun-14,201406,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201406,Jun-14,201406,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201406,Jun-14,201406,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201406,Jun-14,201406,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201407,Jul-14,201407,,vvOK1BxTbet,Baringo County,KE_County_30,,
201407,Jul-14,201407,,HMNARUV2CW4,Bomet County,KE_County_36,,
201407,Jul-14,201407,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201407,Jul-14,201407,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201407,Jul-14,201407,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201407,Jul-14,201407,,PFu8alU2KWG,Embu County,KE_County_14,,
201407,Jul-14,201407,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201407,Jul-14,201407,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201407,Jul-14,201407,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201407,Jul-14,201407,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201407,Jul-14,201407,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201407,Jul-14,201407,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201407,Jul-14,201407,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201407,Jul-14,201407,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201407,Jul-14,201407,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201407,Jul-14,201407,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201407,Jul-14,201407,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201407,Jul-14,201407,,j8o6iO4Njsi,Kitui County,KE_County_15,,
201407,Jul-14,201407,,N7YETT3A9r1,Kwale County,KE_County_2,,
201407,Jul-14,201407,,xuFdFy6t9AH,Laikipia County,KE_County_31,,
201407,Jul-14,201407,,NjWSbQTwys4,Lamu County,KE_County_5,,
201407,Jul-14,201407,,yhCUgGcCcOo,Machakos County,KE_County_16,,
201407,Jul-14,201407,,BoDytkJQ4Qi,Makueni County,KE_County_17,,
201407,Jul-14,201407,,R6f9znhg37c,Mandera County,KE_County_9,,
201407,Jul-14,201407,,Eey8fT4Im3y,Marsabit County,KE_County_10,,
201407,Jul-14,201407,,Y52XNJ50hYb,Meru County,KE_County_12,,
201407,Jul-14,201407,,fVra3Pwta0Q,Migori County,KE_County_44,,
201407,Jul-14,201407,,wsBsC6gjHvn,Mombasa County,KE_County_1,,
201407,Jul-14,201407,,ahwTMNAJvrL,Muranga County,KE_County_21,,
201407,Jul-14,201407,,jkG3zaihdSs,Nairobi County,KE_County_47,,
201407,Jul-14,201407,,ob6SxuRcqU4,Nakuru County,KE_County_32,,1
201407,Jul-14,201407,,t0J75eHKxz5,Nandi County,KE_County_29,,
201407,Jul-14,201407,,kqJ83J2D72s,Narok County,KE_County_33,,
201407,Jul-14,201407,,uepLTG8wGWJ,Nyamira County,KE_County_46,,
201407,Jul-14,201407,,mYZacFNIB3h,Nyandarua County,KE_County_18,,
201407,Jul-14,201407,,ptWVfaCIdVx,Nyeri County,KE_County_19,,
201407,Jul-14,201407,,o36zCRjSd4G,Samburu County,KE_County_25,,
201407,Jul-14,201407,,u4t9H8XyU9P,Siaya County,KE_County_41,,
201407,Jul-14,201407,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,
201407,Jul-14,201407,,JsH2bnvNt2d,Tana River County,KE_County_4,,
201407,Jul-14,201407,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,
201407,Jul-14,201407,,mThvosEflAU,Trans Nzoia County,KE_County_26,,
201407,Jul-14,201407,,kphDeKClFch,Turkana County,KE_County_23,,
201407,Jul-14,201407,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,
201407,Jul-14,201407,,sANMZ3lpqGs,Vihiga County,KE_County_38,,
201407,Jul-14,201407,,CeLsrJOH0g9,Wajir County,KE_County_8,,
201407,Jul-14,201407,,XWALbfAPa6n,West Pokot County,KE_County_24,,
201408,Aug-14,201408,,vvOK1BxTbet,Baringo County,KE_County_30,,
201408,Aug-14,201408,,HMNARUV2CW4,Bomet County,KE_County_36,,
201408,Aug-14,201408,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,
201408,Aug-14,201408,,Tvf1zgVZ0K4,Busia County,KE_County_40,,
201408,Aug-14,201408,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,
201408,Aug-14,201408,,PFu8alU2KWG,Embu County,KE_County_14,,
201408,Aug-14,201408,,uyOrcHZBpW0,Garissa County,KE_County_7,,
201408,Aug-14,201408,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,
201408,Aug-14,201408,,bzOfj0iwfDH,Isiolo County,KE_County_11,,
201408,Aug-14,201408,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,
201408,Aug-14,201408,,BjC1xL40gHo,Kakamega County,KE_County_37,,
201408,Aug-14,201408,,ihZsJ8alvtb,Kericho County,KE_County_35,,
201408,Aug-14,201408,,qKzosKQPl6G,Kiambu County,KE_County_22,,
201408,Aug-14,201408,,nrI2khZx3d0,Kilifi County,KE_County_3,,
201408,Aug-14,201408,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,
201408,Aug-14,201408,,sPkRcDvhGWA,Kisii County,KE_County_45,,
201408,Aug-14,201408,,tAbBVBbueqD,Kisumu County,KE_County_42,,
201408,Aug-14,201408,,j8o6iO4Njsi,Kitui County,KE_County_15,,
