lag,MAE,RMSE,MAPE
0,107.340785464649,121.775861263332,11.4121229536866
1,110.164144020477,127.631525848935,11.9027990608264
2,110.096512737377,124.752796468279,11.7661672948904
3,106.710780384113,121.68439072756,11.3373692601874
4,110.259697372392,122.843449890047,11.4226257643034
5,113.204553111386,131.29212099703,12.246686457653
6,99.0380344064286,118.309539900638,10.2856198039512
