county,Species,Total cases,Average cases,Clinically confirmed,Lab confirmed,Post Mortem,Mean incidence rate,Minimum incidence rate,Median incidence rate,Maximum incidence rate,SD of incidence rate
Nyamira,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Nyandarua,Human,"88,391.0","9,821.22","16,024.0 (18.13%)","72,367 (81.87%)",0 (0%),"15,580.54",2537.45,16523.59,22891.99,6154.58
Nyandarua,Cattle,2.0,0.22,2.0 (100%),0 (0%),0 (0%),1.05,0,0,9.46,3.15
Nyandarua,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Nyandarua,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Nyandarua,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Nyeri,Human,"14,429.0","1,603.22","1,241.0 (8.6%)","13,188 (91.4%)",0 (0%),"2,101.32",505.2,2400.95,3073.47,811.64
Nyeri,Cattle,12.0,1.33,0.0 (0%),12 (100%),0 (0%),8.11,0,0,66.87,22.13
Nyeri,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Nyeri,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Nyeri,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Samburu,Human,"38,940.0","4,326.67","6,667.0 (17.12%)","32,273 (82.88%)",0 (0%),"14,140.69",1532.33,15760.69,19798.47,5480.95
Samburu,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Samburu,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Samburu,Goat,57.0,6.33,57.0 (100%),0 (0%),0 (0%),8.84,0,0,65.59,21.78
Samburu,Sheep,8.0,0.89,8.0 (100%),0 (0%),0 (0%),1.57,0,0,14.12,4.71
Siaya,Human,"43,960.0","4,884.44","8,127.0 (18.49%)","35,833 (81.51%)",0 (0%),"4,988.48",860.46,5346.78,7515.24,1858.39
Siaya,Cattle,8.0,0.89,7.0 (87.5%),0 (0%),1 (12.5%),2.73,0,3.07,9.2,3.23
Siaya,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Siaya,Goat,5.0,0.56,5.0 (100%),0 (0%),0 (0%),3.4,0,0,18.38,6.93
Siaya,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Taita Taveta,Human,"11,560.0","1,284.44","2,505.0 (21.67%)","9,055 (78.33%)",0 (0%),"3,757.34",867.69,2419.44,7802.25,2689.35
Taita Taveta,Cattle,19.0,2.11,4.0 (21.05%),15 (78.95%),0 (0%),18.39,0,0,130.65,43.65
Taita Taveta,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Taita Taveta,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Taita Taveta,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Tana River,Human,"12,145.0","1,349.44","3,095.0 (25.48%)","9,050 (74.52%)",0 (0%),"4,274.33",1513.4,3787.27,7128.83,1900.84
Tana River,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Tana River,Camel,13.0,1.44,13.0 (100%),0 (0%),0 (0%),27.1,0,0,243.91,81.3
Tana River,Goat,8.0,0.89,8.0 (100%),0 (0%),0 (0%),1.5,0,0,13.54,4.51
Tana River,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Tharaka Nithi,Human,"61,871.0","6,874.56","13,717.0 (22.17%)","48,154 (77.83%)",0 (0%),"17,377.58",3760.19,18429.97,28232.84,8272.28
Tharaka Nithi,Cattle,5.0,0.56,4.0 (80%),0 (0%),1 (20%),6.12,0,0,44.1,14.7
Tharaka Nithi,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Tharaka Nithi,Goat,6.0,0.67,6.0 (100%),0 (0%),0 (0%),3.11,0,0,28.01,9.34
